"prod","dest","mean","sd"
"OtherNonConsumerFilms","Fresh water",8.14996959705586e-05,5.14880318302363e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",1.3707175492173e-05,8.75756259989697e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000439139299494684,0.000246005628393176
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",8.10530774033433e-05,6.3872404372926e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",1.37348417697429e-05,1.09675853535672e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000444986081259967,0.000138021936234544
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",8.21134047104533e-05,3.58641984534363e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",1.38209091143042e-05,6.04096141791221e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99439572962138e-07,1.06991353379786e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.29372668880525e-06,7.54389757400832e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000240512861488191,0.000167463965945755
"Insulation","Soil (MP)",8.2614229826106e-05,1.80529015085047e-05
"Insulation","Fresh water",2.90927027705323e-05,2.32482607271728e-05
"Insulation","Fresh water (MP)",1.06477569106346e-05,5.70386989528168e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",1.79355505080567e-05,1.43820370183593e-05
"Insulation","Coastal and ocean water (MP)",6.90826882299542e-06,4.32356001801675e-06
"WallFloorCoverings","Soil",0.000288906196185153,0.000228194514838877
"WallFloorCoverings","Soil (MP)",0.000328542041624466,0.000262696243835555
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",4.53179003536727e-05,4.24558186957626e-05
"WallFloorCoverings","Subsurface soil (MP)",9.83279415038427e-06,9.97072695371624e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",2.73718936146812e-05,2.96701367513135e-05
"WindowsProfilesFittedFurniture","Soil",0,0
