"prod","dest","mean","sd"
"WetWipes","Coastal and ocean water",0.00143741066415537,0.000970208767671144
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.108784826418555,0.0540085504044714
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.00225264346764773,0.00125541764904991
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",0.00382930735330567,0.00184221846248403
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.0745473847841217,0.063709038825472
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00151668294585126,0.00147049767406077
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",0.00261585923235184,0.00217490758704213
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0340754099545734,0.0211613973559518
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.000693590142625862,0.000473211289027906
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",0.00118616917110509,0.000723241870858447
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.00111572347750838,0.000289848484765435
"Agrotextiles","Soil (MP)",0.0123361829056159,0.00599744264752251
"Agrotextiles","Fresh water",6.98843387459576e-07,3.28794848496788e-07
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",1.42339526463447e-06,7.26381345783734e-07
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.026508614240349,0.0118559507579716
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0121950621557521,0.00583303301579458
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0265147891675369,0.0117015239265852
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000266352581642413,0.000124938514262085
"TechnicalHouseholdTextiles","Soil (MP)",0.00101733090731543,0.000706703284073007
"TechnicalHouseholdTextiles","Fresh water",6.95928688102667e-07,3.53197233795522e-07
"TechnicalHouseholdTextiles","Fresh water (MP)",2.29298285520578e-05,1.77303492276336e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",8.45577736193766e-05,4.7497634349836e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",1.41207472992091e-06,7.68196635719436e-07
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",5.07827070580826e-05,4.22913668596372e-05
"TechnicalClothing","Soil",0.000262940527840666,0.000116480657814359
"TechnicalClothing","Soil (MP)",0.00494611132955073,0.0015852632668774
"TechnicalClothing","Fresh water",6.85574335169737e-07,3.2487247465018e-07
"TechnicalClothing","Fresh water (MP)",0.000138679667252799,8.37762131712475e-05
"TechnicalClothing","Subsurface soil (MP)",0.000856827140290834,0.000415498924058246
"TechnicalClothing","Coastal and ocean water",1.39945342314276e-06,7.16006778394569e-07
"TechnicalClothing","Coastal and ocean water (MP)",0.000266080347481695,0.000134027549574592
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.00241722601824136,0.00108767646947132
"Post-consumer processes","Soil (MP)",0.00027423111868563,8.28279005826583e-05
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",7.87328767677334e-06,5.26066644843629e-06
"Post-consumer processes","Subsurface soil (MP)",6.0644512759472e-05,3.18110977930802e-05
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",1.38908066473372e-05,7.29666634174796e-06
