"prod","dest","mean","sd"
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",9.20854225802651e-06,8.97386854663959e-06
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",6.43154945683266e-05,5.15158402886472e-05
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.0319890041274489,0.0222588084410952
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00028847667351666,0.000215565568403458
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",0.00200291772600086,0.00126062654274394
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.0843519088530774,0.0422989417924899
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.000763747207916031,0.00042600790394186
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",0.00531269858193155,0.00229345537694619
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.0573551995172626,0.0495967906080767
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.000526532002517777,0.000498609789753967
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",0.00363504681127569,0.00276919918254645
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0263978902204202,0.0166311310643389
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.000238210914121922,0.000161887366874656
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",0.00165542222635028,0.000933750228372601
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.000811888549483102,0.000247063178501638
"Agrotextiles","Soil (MP)",0.0122570879478971,0.0059360683821496
"Agrotextiles","Fresh water",1.29291783095393e-07,6.83392605944185e-08
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",8.90303350054502e-07,4.27132908089095e-07
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.0112812095533046,0.00506578730382041
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0120147865394018,0.005746692232518
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0113291602497211,0.00490450456552274
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000172031153756402,8.46299590258421e-05
"TechnicalHouseholdTextiles","Soil (MP)",0.000706001331555158,0.000500009849908262
"TechnicalHouseholdTextiles","Fresh water",1.28659863521882e-07,7.31630295771894e-08
"TechnicalHouseholdTextiles","Fresh water (MP)",4.98857839995555e-05,5.28557071655971e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",8.56758701030506e-05,4.83389031780325e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",8.87760279181111e-07,4.55150657314411e-07
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",0.000305298821492753,0.000273662207723956
"TechnicalClothing","Soil",0.000170260689778897,7.72227131728617e-05
"TechnicalClothing","Soil (MP)",0.00347490862363388,0.0011704791463946
"TechnicalClothing","Fresh water",1.27398211556393e-07,6.72348003386166e-08
"TechnicalClothing","Fresh water (MP)",0.000193070062448279,0.000126983484676249
"TechnicalClothing","Subsurface soil (MP)",0.000863860461794892,0.000418978235115432
"TechnicalClothing","Coastal and ocean water",8.80605992401404e-07,4.20920878064279e-07
"TechnicalClothing","Coastal and ocean water (MP)",0.00140456037485604,0.000889632327464991
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
