"prod","dest","mean","sd"
"AgriculturalPackagingBottles","Soil (MP)",5.83588156284746e-06,3.67043176740293e-06
"AgriculturalPackagingBottles","Fresh water",6.54112143014435e-06,3.8307415717476e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",3.46099993239983e-07,2.02628460321124e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000919281778020099,0.000711822240507865
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00336503476883305,0.00129696184974994
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",8.94262663091025e-05,5.27077334686741e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",4.41645471750802e-06,2.69562856093166e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00332686945796279,0.00155191496821022
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",8.97466507590569e-05,6.45292309197962e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",4.42176442793906e-06,3.26794737389393e-06
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00335728129139325,0.000866822023988083
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",8.99902493041594e-05,3.5827172448114e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",4.39932517755888e-06,1.80791422765286e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99797840363449e-07,1.07581391292969e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30000635804979e-06,7.43287602033984e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000882340456103276,0.00062724376523561
"Insulation","Soil (MP)",9.595391616345e-05,1.9250601695175e-05
"Insulation","Fresh water",2.81826081270535e-05,2.26450688723078e-05
"Insulation","Fresh water (MP)",3.5595488319937e-06,2.29538097808869e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",4.40959198145483e-06,3.49706266026018e-06
"Insulation","Coastal and ocean water (MP)",5.80157157914464e-07,4.17071690652648e-07
"WallFloorCoverings","Soil",0.00092752088903977,0.000726242239723685
"WallFloorCoverings","Soil (MP)",0.000381984450717975,0.000299925107110588
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",1.63410661778173e-05,1.53211435218815e-05
"WallFloorCoverings","Subsurface soil (MP)",1.95971764709101e-05,1.81114885197018e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",2.98109209886171e-06,3.19392902522679e-06
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000927246481098461,0.000733957060654953
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000691059871309071,0.00016292780732524
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.00239774529635543,0.000911590185376077
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",6.51762036025535e-06,2.49958714280044e-06
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",3.43179408513803e-07,1.3141297163442e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00428773513942694,0.00165436771640625
"AgriculturalFilms","Soil (MP)",0.0253228895384074,0.00650115302194846
"AgriculturalFilms","Fresh water",6.57717000931406e-06,3.8439857098974e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",3.4621136694336e-07,2.02400077176373e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0324230415292154,0.00994882113900615
"AgriculturalPipes","Soil (MP)",0.00100527594970107,0.000220475806683904
"AgriculturalPipes","Fresh water",6.5896467659169e-06,2.09566016783021e-06
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",3.4636243211796e-07,1.09429296884539e-07
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0230339418123049,0.00737499658762643
"AgriculturalOther","Soil (MP)",0.00100723593410861,0.000295211548492181
"AgriculturalOther","Fresh water",6.57014104349147e-06,2.78195784401833e-06
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",3.44657977919289e-07,1.45096543609315e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.00241757527964675,0.000666144623503873
"Household","Soil (MP)",0.000392806261397623,0.000146251627219402
"Household","Fresh water",6.55512233037514e-06,1.84806414310169e-06
"Household","Fresh water (MP)",1.64844002938564e-05,7.49619559915051e-06
"Household","Subsurface soil (MP)",1.94738018147629e-05,8.66086865522582e-06
"Household","Coastal and ocean water",3.44761388216855e-07,9.65379496125121e-08
"Household","Coastal and ocean water (MP)",2.96231139675692e-06,1.50954113522568e-06
"TamponApplicators","Soil",0.0137825801480992,0.00562719836887143
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00323698997009976,0.00241160613711355
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",3.45085631814121e-07,2.04002900456134e-07
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.00240491868676325,0.000715517764667835
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",6.53980760157068e-06,1.99542353592319e-06
"Furniture","Fresh water (MP)",0,0
