"prod","dest","mean","sd"
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",1.29696466944019e-05,8.40754176838325e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00180307074191499,0.000943851321995025
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000444754210894773,0.000338357115872107
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",1.29960055446682e-05,1.01746351739623e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00180235482680322,0.000519160283168412
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000444346513462229,0.000186615859603044
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",1.29564160156872e-05,5.60049070663368e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99124384381908e-07,1.06735083065723e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30110204282143e-06,7.47993982912017e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.00100504255298034,0.000716649861442196
"Insulation","Soil (MP)",9.64876784892887e-05,1.93626177367314e-05
"Insulation","Fresh water",1.32651722952872e-05,1.05604563663067e-05
"Insulation","Fresh water (MP)",1.501039763893e-06,1.02642038168664e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",1.62720079130355e-05,1.30161617887021e-05
"Insulation","Coastal and ocean water (MP)",1.94933546134481e-06,1.43208608616899e-06
"WallFloorCoverings","Soil",0.00103431062086863,0.000817819895816247
"WallFloorCoverings","Soil (MP)",0.000392041178315003,0.000303082387696061
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",9.0355842236941e-06,7.12989487507391e-06
"WallFloorCoverings","Subsurface soil (MP)",1.19471833979797e-05,1.1346550560742e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",8.58953488087508e-06,9.25872167930438e-06
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.00105295353360337,0.000835730808135244
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000693889257289034,0.000162332008907949
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
