"prod","dest","mean","sd"
"AgriculturalOther","Fresh water",1.86239510658594e-06,7.29901638367299e-07
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",1.83885732930585e-07,7.68953448588212e-08
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000559815051006854,0.000144009267116268
"Household","Soil (MP)",0.000422620946060332,0.000144403424622143
"Household","Fresh water",1.8809114365981e-06,4.98058609214936e-07
"Household","Fresh water (MP)",1.46780598334164e-05,6.29990667804839e-06
"Household","Subsurface soil (MP)",1.06003514046896e-05,5.02191957970365e-06
"Household","Coastal and ocean water",1.83775693312835e-07,5.12169352721775e-08
"Household","Coastal and ocean water (MP)",3.42540094040325e-06,1.92205774705589e-06
"TamponApplicators","Soil",0.0303563813562957,0.0232724662154931
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00545895728442766,0.00397793717082546
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",1.8415907340073e-07,1.07670976501736e-07
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000524147501959484,0.00015628551172156
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",1.87866428252371e-06,5.43759603272724e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",1.84004570380439e-07,5.59042731509144e-08
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000519198044779837,0.000298491998590509
"FabricCoatings","Soil (MP)",0.00575102306733589,0.00130687658543085
"FabricCoatings","Fresh water",1.86847811439641e-06,1.05042069565443e-06
"FabricCoatings","Fresh water (MP)",0.000340296466806657,0.000140184208175773
"FabricCoatings","Subsurface soil (MP)",0.000304303085930211,0.000221048915009811
"FabricCoatings","Coastal and ocean water",1.83849443469517e-07,1.0822858900922e-07
"FabricCoatings","Coastal and ocean water (MP)",2.57462836178079e-05,2.12213684767572e-05
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.0882497285973391,0.020410814196313
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0307316733398618,0.02184785537934
"Cosmetics","Subsurface soil (MP)",0.110993173800923,0.0619536252662855
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0,0
"ShotgunCartridges","Soil",0.619250850831943,0.223134598019323
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0987360709796829,0.0404414185004941
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",1.83557246764491e-07,1.09427191943934e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000523925441533224,0.000152817483007241
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",1.87669039810187e-06,5.24300558398385e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",1.84109938642927e-07,5.43264426534613e-08
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.0420955080431363,0.0137599116793463
"FishingGearOcean","Coastal and ocean water (MP)",0.00739993609562848,0.000891929641694619
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00369661378013628,0.000464481149914992
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000514534143262707,0.000270183845872344
"ApparelPC","Soil (MP)",0.00296765519191404,0.00156097367953456
"ApparelPC","Fresh water",1.85238694537156e-06,9.47301718222784e-07
"ApparelPC","Fresh water (MP)",0.000324110914375822,0.000178794536772929
"ApparelPC","Subsurface soil (MP)",0.000929453051607577,0.0004919681173914
"ApparelPC","Coastal and ocean water",1.81348859242635e-07,9.74676716937551e-08
"ApparelPC","Coastal and ocean water (MP)",1.99576851569308e-05,2.00643320497015e-05
"HouseholdTextilesPC","Soil",0.000519815708121306,0.000234407786962414
"HouseholdTextilesPC","Soil (MP)",0.000843275342953735,0.000698314689871739
"HouseholdTextilesPC","Fresh water",1.86490524720038e-06,8.1143696327126e-07
"HouseholdTextilesPC","Fresh water (MP)",4.88123443880184e-05,3.22884730230652e-05
"HouseholdTextilesPC","Subsurface soil (MP)",9.11049428887644e-05,4.51597082489996e-05
"HouseholdTextilesPC","Coastal and ocean water",1.83319418095619e-07,8.4947872770949e-08
