"prod","dest","mean","sd"
"AutomotivePC","Soil",0.000691085279567662,0.00016240758968568
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000364522746629558,0.000136076984569116
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",2.26206895301848e-06,1.01245486823705e-06
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",8.38569442593073e-07,3.18943846396496e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00238614103869442,0.000932504260533778
"AgriculturalFilms","Soil (MP)",0.0254878564888558,0.00648130511494766
"AgriculturalFilms","Fresh water",2.2462467047548e-06,1.52201623342703e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",8.34209978148331e-07,4.79968570305235e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0299794355175137,0.0097724735725581
"AgriculturalPipes","Soil (MP)",0.00103019923508535,0.000221391121987098
"AgriculturalPipes","Fresh water",2.26896510633463e-06,8.36090134836889e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",8.3902706696085e-07,2.63018514535408e-07
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0211438736017273,0.00733072300727267
"AgriculturalOther","Soil (MP)",0.00103246846087947,0.000296556885388618
"AgriculturalOther","Fresh water",2.26894307331056e-06,1.1072273698119e-06
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",8.38038522536481e-07,3.48469185784455e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000399901448063342,9.88496635132447e-05
"Household","Soil (MP)",0.000376961239901789,0.000133537457388738
"Household","Fresh water",2.2601063924417e-06,7.44855110765735e-07
"Household","Fresh water (MP)",1.17475045807169e-05,4.77647247486867e-06
"Household","Subsurface soil (MP)",1.31397724618156e-05,5.82935335871202e-06
"Household","Coastal and ocean water",8.36000520878695e-07,2.33073562980356e-07
"Household","Coastal and ocean water (MP)",4.50148569309123e-05,2.29929635426962e-05
"TamponApplicators","Soil",0.00036076743727424,0.00020829884174365
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00482134168123623,0.00351172546614323
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
