"prod","dest","mean","sd"
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",1.46366847797708e-06,5.80527362624923e-07
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",6.47588446794652e-08,2.46864888769063e-08
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00232622951931889,0.000926691876481851
"AgriculturalFilms","Soil (MP)",0.0255472673042288,0.00658851012974252
"AgriculturalFilms","Fresh water",1.47505362528326e-06,8.73519489901604e-07
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",6.5146117165113e-08,3.72712856093627e-08
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0302595955907478,0.00984187115378756
"AgriculturalPipes","Soil (MP)",0.0010389049700081,0.000220304818183444
"AgriculturalPipes","Fresh water",1.46155220701585e-06,4.69073504954779e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",6.45634541777029e-08,2.00327220958913e-08
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0210085241960378,0.00735298870647219
"AgriculturalOther","Soil (MP)",0.0010393689538433,0.000295261485473981
"AgriculturalOther","Fresh water",1.46500350212196e-06,6.33687453703802e-07
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",6.49133609248618e-08,2.7104541786168e-08
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000326433799162699,7.75533127952964e-05
"Household","Soil (MP)",0.000445165063851992,0.00014270952890895
"Household","Fresh water",1.4618618400975e-06,4.20320521571612e-07
"Household","Fresh water (MP)",2.02318296406163e-05,9.19708615268075e-06
"Household","Subsurface soil (MP)",1.43577915986536e-05,6.19988079880788e-06
"Household","Coastal and ocean water",6.46437832439963e-08,1.7757531823283e-08
"Household","Coastal and ocean water (MP)",3.52307078694701e-06,2.04209233247859e-06
"TamponApplicators","Soil",0.121380298163134,0.067741832595728
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.004510361117549,0.00326229750828069
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",6.48293324528433e-08,3.73169489811095e-08
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.00027939687352146,8.36490867449363e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",1.46578794934462e-06,4.59589542362255e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",6.47849455909537e-08,1.96528878008738e-08
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.00027929744044941,0.000160450610402913
"FabricCoatings","Soil (MP)",0.00630111355996654,0.00134065769894055
"FabricCoatings","Fresh water",1.45988444750606e-06,8.8580769432133e-07
"FabricCoatings","Fresh water (MP)",0.000874838183154004,0.000325163738454897
"FabricCoatings","Subsurface soil (MP)",0.000418453033175948,0.000274360013309694
"FabricCoatings","Coastal and ocean water",6.48311182002515e-08,3.77717146068431e-08
"FabricCoatings","Coastal and ocean water (MP)",2.62812908690373e-05,2.14579142739359e-05
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.266209172774505,0.0493265765339021
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0342749063190481,0.0292164462824426
"Cosmetics","Subsurface soil (MP)",0.151414897392631,0.0730004141316339
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0,0
"ShotgunCartridges","Soil",0.611118440452537,0.222863859373024
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0995870432206816,0.040970544554442
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",6.38744894135111e-08,3.72635190677933e-08
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.00028036330574122,8.06427260134868e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",1.47161906713027e-06,4.50456465182243e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",6.49571665359249e-08,1.88594449788442e-08
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.0423849108125686,0.0139386833484313
"FishingGearOcean","Coastal and ocean water (MP)",0.00738483690013923,0.000908008041478025
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370559271312152,0.000458589768440676
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000273561730709239,0.000143754158144136
"ApparelPC","Soil (MP)",0.00441271998935907,0.00162075180024619
"ApparelPC","Fresh water",1.44181097330146e-06,8.0254611953686e-07
"ApparelPC","Fresh water (MP)",0.000383108911310026,0.000243648835118928
"ApparelPC","Subsurface soil (MP)",0.00126801512962742,0.000583331949387526
"ApparelPC","Coastal and ocean water",6.36878450707176e-08,3.40801408521086e-08
