"country","dest","mean","sd"
"FI","Coastal and ocean water (MP)",5.55512500240114e-06,1.26324248717221e-06
"FI","Fresh water",1.29743617108795e-05,5.54740473347742e-06
"FI","Fresh water (MP)",2.27236344916034e-05,6.91217174255426e-06
"FI","Soil",0.000461915035278792,0.000134249853874689
"FI","Soil (MP)",0.00037263636730262,6.8019177544081e-05
"FI","Subsurface soil (MP)",3.33076153742932e-05,1.3642335461257e-05
"FR","Coastal and ocean water",4.16907469506997e-05,1.25073972606915e-05
"FR","Coastal and ocean water (MP)",1.51100734013541e-05,4.44901112896695e-06
"FR","Fresh water",1.10180323483143e-05,4.28405724104096e-06
"FR","Fresh water (MP)",6.95088046068562e-06,2.97850091257898e-06
"FR","Soil",0.00190785924599917,0.00057724897835515
"FR","Soil (MP)",0.000425966227912971,7.96752045256879e-05
"FR","Subsurface soil (MP)",4.462628473971e-05,1.70747013782464e-05
"HR","Coastal and ocean water",8.4939362397882e-05,2.53027326470187e-05
"HR","Coastal and ocean water (MP)",3.63979637903122e-05,1.45252666707134e-05
"HR","Fresh water",2.54847945679054e-05,9.61016473679395e-06
"HR","Fresh water (MP)",1.67941746183359e-05,1.02229691640376e-05
"HR","Soil",0.00216695360335584,0.000628873072121399
"HR","Soil (MP)",0.000309928313167898,8.07973037556532e-05
"HR","Subsurface soil (MP)",3.22249216842826e-05,1.24801332715159e-05
"HU","Coastal and ocean water",0,0
"HU","Coastal and ocean water (MP)",0,0
"HU","Fresh water",3.31549264402962e-05,1.28560942326614e-05
"HU","Fresh water (MP)",1.6593553829924e-05,6.57462558076189e-06
"HU","Soil",0.00174791947878452,0.000505189393240696
"HU","Soil (MP)",0.000450399059820723,8.21375100372007e-05
"HU","Subsurface soil (MP)",4.88573438735867e-05,1.74430127676709e-05
"IE","Coastal and ocean water",2.19013375283865e-05,7.31469949939277e-06
"IE","Coastal and ocean water (MP)",1.05792809915e-05,4.25181599827501e-06
"IE","Fresh water",1.05512376799912e-05,4.68750685024032e-06
"IE","Fresh water (MP)",1.53752705898362e-05,4.93430211352437e-06
"IE","Soil",0.000529472460698795,0.00014787483411687
"IE","Soil (MP)",0.000242488282873343,4.29636350115117e-05
"IE","Subsurface soil (MP)",3.00694248258496e-05,1.07326495977393e-05
"IT","Coastal and ocean water",4.86344544784374e-05,1.60814708504514e-05
"IT","Coastal and ocean water (MP)",2.85632748672008e-05,1.07201632694909e-05
"IT","Fresh water",2.7540109751752e-05,1.16282321416055e-05
"IT","Fresh water (MP)",9.16781814068726e-06,4.76051294035652e-06
"IT","Soil",0.0046076765639609,0.00127494761026143
"IT","Soil (MP)",0.000330851106818191,7.68359778000845e-05
"IT","Subsurface soil (MP)",7.16699375252386e-05,2.49398972158783e-05
"LT","Coastal and ocean water",2.11772720096651e-05,7.73135880913955e-06
"LT","Coastal and ocean water (MP)",3.87768013440385e-06,7.29102018520266e-07
"LT","Fresh water",7.58956969987676e-06,3.11856413922997e-06
"LT","Fresh water (MP)",8.92502031739843e-06,3.09790890728857e-06
"LT","Soil",0.000427455114511315,0.000126378761879481
"LT","Soil (MP)",0.00022253673422574,4.3301972577824e-05
"LT","Subsurface soil (MP)",2.33144873835547e-05,7.75308947788656e-06
"LU","Coastal and ocean water",0,0
"LU","Coastal and ocean water (MP)",0,0
"LU","Fresh water",1.30600105713623e-05,4.48081373290447e-06
"LU","Fresh water (MP)",1.11659934038311e-05,6.03664007083982e-06
"LU","Soil",0.00159032591246988,0.000474374156025941
"LU","Soil (MP)",0.000333284622692551,8.34991075820177e-05
"LU","Subsurface soil (MP)",2.94875053559722e-05,1.19831640280246e-05
"LV","Coastal and ocean water",8.6897788805381e-05,3.0916043360908e-05
"LV","Coastal and ocean water (MP)",1.89449702175806e-05,3.8918940313921e-06
"LV","Fresh water",3.48595947797851e-05,1.42389418843859e-05
"LV","Fresh water (MP)",3.29490439596387e-05,1.41972416256033e-05
"LV","Soil",0.00150536353824893,0.000384819898409405
"LV","Soil (MP)",0.000464779640339473,9.83733305626786e-05
"LV","Subsurface soil (MP)",5.98671142415293e-05,2.37658319441301e-05
"MT","Coastal and ocean water",1.49605176764834e-05,4.28074060560846e-06
"MT","Coastal and ocean water (MP)",5.40766924545818e-05,2.84714187033191e-05
"MT","Fresh water",2.21485889977692e-05,9.54771891574681e-06
"MT","Fresh water (MP)",7.89095693635647e-06,3.00817199485687e-06
"MT","Soil",0.000882221846837661,0.000231443244363114
"MT","Soil (MP)",0.000220249053890849,7.39587668669813e-05
"MT","Subsurface soil (MP)",2.13555818970131e-05,1.00909395117592e-05
"NL","Coastal and ocean water",1.98032978935861e-05,6.39537525634775e-06
"NL","Coastal and ocean water (MP)",6.60814677776396e-06,2.04282107891784e-06
"NL","Fresh water",1.0560151548881e-05,3.88620352941052e-06
"NL","Fresh water (MP)",1.68643101154238e-05,5.11121963104976e-06
"NL","Soil",0.000856626172720603,0.000258969360067507
"NL","Soil (MP)",0.00024170733143288,5.07359848041949e-05
"NL","Subsurface soil (MP)",3.19676853165144e-05,1.19061751409828e-05
"NO","Coastal and ocean water",0.000634984278067701,0.000229023857338109
"NO","Coastal and ocean water (MP)",0.000180230172260204,4.28069621994331e-05
"NO","Fresh water",2.41765049825753e-06,1.08687102549246e-06
"NO","Fresh water (MP)",9.06788379797254e-06,3.97774378328288e-06
"NO","Soil",0.000700192151029475,0.000184078884156518
"NO","Soil (MP)",0.000388285531324024,8.76938326662013e-05
"NO","Subsurface soil (MP)",5.86218984750588e-05,2.29627563194175e-05
"PL","Coastal and ocean water",1.15017962656401e-05,3.60088491056219e-06
"PL","Coastal and ocean water (MP)",2.36788537628705e-06,5.04193504836168e-07
"PL","Fresh water",2.4177937449077e-05,7.43189365830421e-06
"PL","Fresh water (MP)",1.35046229569569e-05,5.47793105771422e-06
