"prod","dest","mean","sd"
"ApparelPC","Soil (MP)",0.00348091089293956,0.00118964834899742
"ApparelPC","Fresh water",3.82201521399603e-07,2.03033251373598e-07
"ApparelPC","Fresh water (MP)",0.000366816604868524,0.000182535283341677
"ApparelPC","Subsurface soil (MP)",0.00108218170443987,0.000522927824735912
"ApparelPC","Coastal and ocean water",1.46508605175442e-06,8.94321167334539e-07
"ApparelPC","Coastal and ocean water (MP)",0.000852697425299416,0.000679135557989398
"HouseholdTextilesPC","Soil",0.00078695054639591,0.000361093451352342
"HouseholdTextilesPC","Soil (MP)",0.000689233410029858,0.000475553046926206
"HouseholdTextilesPC","Fresh water",3.83958446560805e-07,1.75827166059544e-07
"HouseholdTextilesPC","Fresh water (MP)",7.72447069097253e-05,6.47143348988353e-05
"HouseholdTextilesPC","Subsurface soil (MP)",0.000106924670761946,4.93006972516853e-05
"HouseholdTextilesPC","Coastal and ocean water",1.47312913106788e-06,7.71127547205499e-07
"HouseholdTextilesPC","Coastal and ocean water (MP)",0.000264475459671247,0.000260656482418779
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.00204266495524653,0.00102049147801887
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",6.36966507714774e-05,5.09652405262622e-05
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",1.48088334083743e-06,9.55643432223389e-07
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.0396908598078961,0.0223736686450497
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00198060003068537,0.00124104557975558
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",1.48025406346529e-06,6.53190592424815e-07
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.104539704661647,0.0388971749866958
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.00527405611223897,0.00227060047405432
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",1.47980802824777e-06,6.28658020662798e-07
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.0712079198218692,0.0482064320023913
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00358578812510205,0.00271665559155057
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",1.48026975383224e-06,9.77797855883223e-07
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0330417735958556,0.0164043912883641
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.00164857929285864,0.000920103252414431
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",1.476615169455e-06,6.39195694774002e-07
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.00143433119432872,0.000424006378253573
"Agrotextiles","Soil (MP)",0.0121905734877755,0.00600143895067255
"Agrotextiles","Fresh water",3.88473713591705e-07,1.72997679779693e-07
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",1.48297225051631e-06,7.50892999065121e-07
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.0133750736922105,0.0060199108557357
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0120946287771456,0.00585554266023895
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0135024253631477,0.00580999263627
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000792439684709622,0.000387373297581028
"TechnicalHouseholdTextiles","Soil (MP)",0.0006889986343747,0.000485905878239372
"TechnicalHouseholdTextiles","Fresh water",3.87869770128028e-07,1.87869074747051e-07
"TechnicalHouseholdTextiles","Fresh water (MP)",7.69688887513407e-05,6.57150472514986e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",0.000106727439063281,5.15474249171535e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",1.48121135049121e-06,8.17002760308187e-07
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",0.00026459250408283,0.000267282820575631
"TechnicalClothing","Soil",0.000777496504030922,0.000354187280965875
"TechnicalClothing","Soil (MP)",0.00347972193974637,0.00112597130902087
"TechnicalClothing","Fresh water",3.81839526421818e-07,1.71798894329306e-07
"TechnicalClothing","Fresh water (MP)",0.000366323406706039,0.000163959816451475
"TechnicalClothing","Subsurface soil (MP)",0.00108962856257594,0.000445967503677664
"TechnicalClothing","Coastal and ocean water",1.45625491122601e-06,7.2256301125039e-07
"TechnicalClothing","Coastal and ocean water (MP)",0.000851067322296811,0.00061973463003413
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
