dest,pol,prod,mean,sd,mean_percap,sd_percap
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,2.1660018012422485e-5,1.9447060686570442e-5,0.0020876330985396207,0.001874344127290618
Release,EPS,Pre-consumer processes,0.0023698552156487286,0.0021758740561761887,0.2284110836887394,0.20971481627216976
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,1.4211545163839035e-4,1.0734969898955716e-4,0.01369735336711425,0.010346565021337227
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0020630289590988895,0.0014209909677878386,0.1988385944919581,0.13695777055117792
Release,PVC,Pre-consumer processes,0.03463731270352121,0.014277894884653712,3.3384090633196335,1.376130247056012
Incineration,PET,Pre-consumer processes,0,0,0,0
Landfill,PET,Pre-consumer processes,3.283798292719988e-4,2.6481985064237713e-4,0.03164986289890638,0.02552383313043765
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.004740469724458599,0.0035223042861142126,0.45689534947427046,0.3394862832802233
Release,PET,Pre-consumer processes,0.005299340404118256,0.003970702851275388,0.5107603521714842,0.38270377670203287
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,2.2227873741688616e-5,3.632280471688025e-5,0.00214236409714412,0.0035008599399714664
Sludge amended soil,LDPE,ConsumerFilms,3.234310157666075e-4,5.137763883834281e-4,0.031172886985662472,0.0495187304563757
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.07507777997891245,0.06178898108455315,7.2361370317864955,5.955337708545375
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,2.9253401285249624e-5,4.979944763378113e-5,0.0028194975984287465,0.004799764021878794
Sludge amended soil,HDPE,ConsumerFilms,4.245886776776804e-4,6.905060256694061e-4,0.04092265187760855,0.06655226385784889
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.08716163724714246,0.07618630974991279,8.400801824618963,7.34297920704829
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,6.407339184395337e-5,1.0624251329257539e-4,0.006175513495529892,0.010239852390446376
Sludge amended soil,PP,ConsumerFilms,9.329467150905969e-4,0.0014901468689365225,0.08991915152055387,0.14362314581146282
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.20161147728546225,0.16582937678687432,19.431691736600126,15.982945881759134
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,3.0410958512404247e-6,4.940010676098384e-6,2.9310651317279246e-4,4.7612748007168734e-4
Sludge amended soil,PS,ConsumerFilms,4.4452597535097296e-5,7.078277208237678e-5,0.004284424596374143,0.006822176127499414
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.0094919816525596,0.00805629978476067,0.9148549672142218,0.7764812602084712
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,6.547417631873766e-6,1.0426774475084824e-5,6.310523726444887e-4,0.0010049520500265122
Sludge amended soil,PVC,ConsumerFilms,9.524940431090506e-5,1.4511531638869107e-4,0.009180315960106104,0.013986485949565397
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.02081436749875533,0.01749756577713474,2.006127718390994,1.6864481571192944
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,7.517738194358184e-6,1.2840613638930375e-5,7.24573685566495e-4,0.0012376023890107678
Sludge amended soil,PET,ConsumerFilms,1.0877764435665712e-4,1.7779257773977217e-4,0.010484193069917542,0.017135981592967996
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.023182705349986246,0.019591315748298786,2.2343925556555915,1.8882477002850286
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,2.463377802548048e-6,4.0053566016790284e-6,2.3742496575292294e-4,3.8604377006167266e-4
Sludge amended soil,LDPE,ConsumerBags,3.568586696313219e-5,5.606875358044108e-5,0.003439470686478172,0.005404011469485362
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.007977822957523981,0.0066286235272994916,0.7689175166366178,0.6388791489191006
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,6.311515658627743e-6,1.0862463061539493e-5,6.083156986917359e-4,0.0010469445318987368
Sludge amended soil,HDPE,ConsumerBags,9.14334856349564e-5,1.4991742793931632e-4,0.008812530572084861,0.014449322453681648
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.01886792565677295,0.01606046348472781,1.8185260085782708,1.5479375469298096
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
