"country","dest","mean","sd"
"FR","Fresh water (MP)",0.077680717735811,0.0332826993206812
"FR","Soil",21.3814557236137,6.63303000537375
"FR","Soil (MP)",4.75895287548301,0.865222549725919
"FR","Subsurface soil (MP)",0.498296671842395,0.188468063354095
"HR","Coastal and ocean water",0.02455502825807,0.00707369232804914
"HR","Coastal and ocean water (MP)",0.0105187841338822,0.00410908155278015
"HR","Fresh water",0.0073989749323271,0.00281828166751523
"HR","Fresh water (MP)",0.00485500681341491,0.00293591294709513
"HR","Soil",0.628985576925899,0.186051917094971
"HR","Soil (MP)",0.0896285767315465,0.0224921243584996
"HR","Subsurface soil (MP)",0.00931615585351453,0.00353967426949151
"HU","Coastal and ocean water",0,0
"HU","Coastal and ocean water (MP)",0,0
"HU","Fresh water",0.0862093066300884,0.0345609116689356
"HU","Fresh water (MP)",0.0429463485161723,0.0170232638530691
"HU","Soil",4.53590080413667,1.35702042972802
"HU","Soil (MP)",1.16552702051982,0.213080429698753
"HU","Subsurface soil (MP)",0.126418579076912,0.0450658625297479
"IE","Coastal and ocean water",0.0598598475582868,0.0196512514676421
"IE","Coastal and ocean water (MP)",0.0289245511612228,0.0114966672979596
"IE","Fresh water",0.0289439564389763,0.0130161987901973
"IE","Fresh water (MP)",0.0420747938802643,0.0134181589709758
"IE","Soil",1.45149037205098,0.412668653377712
"IE","Soil (MP)",0.663902826741795,0.118258768134184
"IE","Subsurface soil (MP)",0.0822218617833282,0.0290448815719556
"IT","Coastal and ocean water",0.429838012882446,0.148316207408103
"IT","Coastal and ocean water (MP)",0.251287031754726,0.0941169618323414
"IT","Fresh water",0.243633640979632,0.106245337195294
"IT","Fresh water (MP)",0.0806750458706123,0.0419222988507627
"IT","Soil",40.7055653210494,11.8759473944445
"IT","Soil (MP)",2.91026105497022,0.672905498391636
"IT","Subsurface soil (MP)",0.630439100314988,0.219224505340587
"LT","Coastal and ocean water",0.0239603378636103,0.00840397258154486
"LT","Coastal and ocean water (MP)",0.0043875508136843,0.000704823214162801
"LT","Fresh water",0.00860929135745379,0.00349450801447983
"LT","Fresh water (MP)",0.0101419006128293,0.00350231401995003
"LT","Soil",0.484677250925131,0.138778862832861
"LT","Soil (MP)",0.253106990038306,0.0502726523883421
"LT","Subsurface soil (MP)",0.02642400927028,0.00853660933089517
"LU","Coastal and ocean water",0,0
"LU","Coastal and ocean water (MP)",0,0
"LU","Fresh water",0.00139537868820573,0.000486401997409703
"LU","Fresh water (MP)",0.00118801006610661,0.000637091889472873
"LU","Soil",0.169797141039116,0.0514924604696226
"LU","Soil (MP)",0.035473142800896,0.00861620578928298
"LU","Subsurface soil (MP)",0.00313376228400725,0.00124704981455808
"LV","Coastal and ocean water",0.0177750088929681,0.00610065215340992
"LV","Coastal and ocean water (MP)",0.00387400609049546,0.000713707439922724
"LV","Fresh water",0.00717835813929435,0.00298973942921979
"LV","Fresh water (MP)",0.00674995858112809,0.00287312968020843
"LV","Soil",0.309598769601659,0.081647214587616
"LV","Soil (MP)",0.0952171975050752,0.0191302795239697
"LV","Subsurface soil (MP)",0.0122546649730635,0.0047562969518485
"MT","Coastal and ocean water",0.000921372728868321,0.000256127572908588
"MT","Coastal and ocean water (MP)",0.0033298263551595,0.00173734040046267
"MT","Fresh water",0.00136910606157035,0.000595459628758111
