Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Fishing gear to Waste collection and recycling,160$\pm$30,159$\pm$30,71.7$\pm$13,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,391$\pm$44,319$\pm$42,0$\pm$0,6,6,4,0,0,0,0,6,6,0
Fishing gear to Fresh water (MP),0.00264$\pm$0.00097,0.00264$\pm$0.00097,0.00116$\pm$0.00042,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00643$\pm$0.0015,0.00528$\pm$0.0014,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,7.85$\pm$4.3,7.93$\pm$4.3,1.35$\pm$0.33,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,17.1$\pm$6.1,15.8$\pm$6.1,0$\pm$0,2,2,2,0,0,0,0,4,4,0
Fishing gear to Coastal and ocean water (MP),1.23$\pm$0.34,1.23$\pm$0.34,0.536$\pm$0.15,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.99$\pm$0.5,2.45$\pm$0.48,0$\pm$0,2,2,1,0,0,0,0,2,2,0
Waste collection and recycling to Storm water and wastewater (MP),4.13$\pm$1.9,10.8$\pm$4.7,43.3$\pm$19,1.86$\pm$0.84,0.0045$\pm$0.0022,13.4$\pm$6.1,0.212$\pm$0.093,73.7$\pm$21,14.9$\pm$5.1,0.00187$\pm$0.00084,2,4,4,2,1,4,1,4,4,2
Waste collection and recycling to Litter,29.8$\pm$16,82.5$\pm$63,44.2$\pm$28,0$\pm$0,89.7$\pm$70,167$\pm$130,10.2$\pm$7.9,423$\pm$160,112$\pm$65,0.0897$\pm$0.07,4,4,4,0,4,6,4,6,6,4
Waste collection and recycling to Soil (MP),0.306$\pm$0.18,0.758$\pm$0.44,2.86$\pm$1.8,0.139$\pm$0.08,0.02$\pm$0.02,0.899$\pm$0.58,0.111$\pm$0.054,5.09$\pm$2,1.06$\pm$0.48,0.000159$\pm$0.000082,1,1,2,1,1,1,1,2,2,1
Waste collection and recycling to Soil,1.06$\pm$0.51,1.21$\pm$0.63,1.94$\pm$0.95,0.539$\pm$0.27,0.106$\pm$0.053,0.43$\pm$0.23,1.57$\pm$0.73,6.86$\pm$1.5,2.28$\pm$0.81,0.000645$\pm$0.00028,2,2,2,1,1,1,2,2,2,1
Waste collection and recycling to Air (MP),0.257$\pm$0.17,0.663$\pm$0.44,2.74$\pm$1.8,0.118$\pm$0.078,0$\pm$0,0.85$\pm$0.56,0.000107$\pm$0.00007,4.62$\pm$1.9,0.92$\pm$0.47,0.000118$\pm$0.000078,1,1,2,1,0,1,1,2,1,1
Waste collection and recycling to Landfill,9600$\pm$3000,14500$\pm$4000,19500$\pm$5100,4880$\pm$1500,896$\pm$290,3740$\pm$1300,13200$\pm$4100,66300$\pm$8400,24100$\pm$5100,5.77$\pm$1.5,8,10,10,8,6,8,10,10,10,8
Waste collection and recycling to Reuse,954$\pm$380,1490$\pm$530,3080$\pm$930,340$\pm$180,237$\pm$170,1070$\pm$460,2020$\pm$580,9200$\pm$1400,2440$\pm$660,0.577$\pm$0.25,6,8,8,6,6,8,8,8,8,6
Waste collection and recycling to End-of-life,2860$\pm$1400,2710$\pm$1600,5090$\pm$2400,1080$\pm$720,5430$\pm$2200,10900$\pm$4100,2700$\pm$1800,30800$\pm$6000,5570$\pm$2100,6.51$\pm$2.3,8,8,8,8,8,10,8,10,8,8
Storm water and wastewater to Waste collection and recycling,0.14$\pm$0.14,23.5$\pm$20,25.7$\pm$21,0.0454$\pm$0.046,0.0102$\pm$0.011,0.0191$\pm$0.022,24.2$\pm$22,73.6$\pm$39,23.7$\pm$20,0.0000556$\pm$0.000048,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater to Compost,0.0311$\pm$0.042,5.28$\pm$5.9,5.57$\pm$6.2,0.0101$\pm$0.013,0.00227$\pm$0.0032,0.0043$\pm$0.006,5.28$\pm$6.2,16.2$\pm$11,5.31$\pm$5.9,0.0000124$\pm$0.000013,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to Fresh water,0.819$\pm$0.7,1.25$\pm$0.84,1.56$\pm$1.1,0.267$\pm$0.22,0.0607$\pm$0.056,0.113$\pm$0.1,2.7$\pm$2.4,6.77$\pm$2.9,2.07$\pm$1.1,0.000327$\pm$0.00023,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater to Landfill,0.00496$\pm$0.0068,0.838$\pm$0.96,0.9$\pm$1,0.0016$\pm$0.0021,0.000362$\pm$0.00053,0.000686$\pm$0.00099,0.8$\pm$1,2.57$\pm$1.8,0.842$\pm$0.96,0.00000197$\pm$0.0000022,1,1,1,1,1,1,1,2,1,1
