Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Other products to Organic waste collection,48.4$\pm$25,115$\pm$58,132$\pm$66,92.2$\pm$46,20$\pm$10,83.5$\pm$42,4.1$\pm$2.1,495$\pm$110,163$\pm$63,0.112$\pm$0.047,4,6,6,4,4,4,2,6,6,6
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,55.6$\pm$32,0$\pm$0,55.6$\pm$32,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,4.14$\pm$2.6,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.14$\pm$2.6,4.14$\pm$2.6,0$\pm$0,2,0,0,0,0,0,0,2,2,0
Other products to Indoor air (MP),10.3$\pm$6.4,24.4$\pm$15,28$\pm$17,19.6$\pm$12,4.18$\pm$2.6,45.7$\pm$25,0.871$\pm$0.54,133$\pm$37,34.7$\pm$17,0.0238$\pm$0.012,4,4,4,4,2,4,1,6,4,4
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,55.4$\pm$36,0$\pm$0,55.4$\pm$36,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Export,579$\pm$300,548$\pm$280,20300$\pm$10000,11700$\pm$6100,0$\pm$0,4710$\pm$2500,2.14$\pm$1.1,37800$\pm$12000,1130$\pm$410,11.7$\pm$6.1,6,6,10,10,0,8,2,10,8,10
Other products to Fresh water,0.672$\pm$0.45,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.672$\pm$0.45,0.672$\pm$0.45,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,2080$\pm$300,2080$\pm$300,932$\pm$130,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,5100$\pm$450,4170$\pm$420,0$\pm$0,8,8,6,0,0,0,0,8,8,0
Fishing gear to Fresh water (MP),0.0122$\pm$0.0045,0.0123$\pm$0.0046,0.00541$\pm$0.002,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.03$\pm$0.0067,0.0246$\pm$0.0064,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,76$\pm$41,76.1$\pm$41,13.1$\pm$3.2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,165$\pm$59,152$\pm$59,0$\pm$0,4,4,4,0,0,0,0,6,6,0
Fishing gear to Coastal and ocean water (MP),11.9$\pm$3.3,11.9$\pm$3.3,5.19$\pm$1.4,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,28.9$\pm$4.8,23.7$\pm$4.6,0$\pm$0,4,4,2,0,0,0,0,4,4,0
Waste collection and recycling to Storm water and wastewater (MP),182$\pm$81,471$\pm$200,1870$\pm$850,82.2$\pm$37,0.23$\pm$0.11,588$\pm$270,10.4$\pm$4.7,3210$\pm$920,654$\pm$220,0.0825$\pm$0.037,6,6,8,4,1,6,4,8,6,4
