Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater (MP) to Sludge amended soil (MP),18.8$\pm$15,55.4$\pm$39,235$\pm$160,8.76$\pm$6.8,0.607$\pm$0.35,80.8$\pm$50,231$\pm$88,630$\pm$190,74.2$\pm$41,0.00936$\pm$0.0068,4,4,6,2,1,4,6,6,4,2
On-the-go consumption to Waste collection and recycling,4610$\pm$2800,8800$\pm$4700,17100$\pm$9500,2630$\pm$1500,0$\pm$0,2090$\pm$1100,46800$\pm$28000,82000$\pm$30000,13400$\pm$5500,2.63$\pm$1.5,8,8,10,8,0,8,10,10,10,8
On-the-go consumption to Litter,857$\pm$600,1620$\pm$1100,3140$\pm$2100,486$\pm$330,0$\pm$0,388$\pm$260,8630$\pm$6100,15100$\pm$6600,2480$\pm$1200,0.486$\pm$0.33,6,8,8,6,0,6,8,10,8,6
Litter to Waste collection and recycling,4770$\pm$2900,6490$\pm$3400,6140$\pm$3000,1190$\pm$700,2550$\pm$2200,4580$\pm$4000,8990$\pm$5700,34700$\pm$9000,11300$\pm$4400,3.75$\pm$2.3,8,8,8,8,8,8,8,10,10,8
Litter to Storm water and wastewater,87.4$\pm$78,93.2$\pm$80,97.8$\pm$78,24.2$\pm$21,7.63$\pm$7.3,6.1$\pm$5.8,158$\pm$140,474$\pm$200,181$\pm$110,0.0318$\pm$0.022,4,4,4,4,2,2,6,6,6,4
Litter to Soil,1150$\pm$710,2670$\pm$2100,2130$\pm$1300,207$\pm$130,2240$\pm$2100,4300$\pm$4000,2440$\pm$2000,15100$\pm$5600,3820$\pm$2200,2.45$\pm$2.1,8,8,8,6,8,8,8,10,8,8
Litter to Fresh water,8.24$\pm$7.2,8.78$\pm$7.1,9.51$\pm$6.9,2.33$\pm$1.9,0.707$\pm$0.67,0.688$\pm$0.54,15.8$\pm$14,46.1$\pm$18,17$\pm$10,0.00304$\pm$0.002,2,2,2,2,1,1,4,4,4,2
Litter to Coastal and ocean water,1.15$\pm$0.98,1.24$\pm$0.98,1.38$\pm$0.98,0.334$\pm$0.26,0.0946$\pm$0.089,0.104$\pm$0.077,2.36$\pm$1.9,6.66$\pm$2.6,2.38$\pm$1.4,0.000428$\pm$0.00028,2,2,2,1,1,1,2,2,2,1
Dumping to Litter,325$\pm$120,369$\pm$150,616$\pm$200,188$\pm$65,27.4$\pm$12,135$\pm$54,473$\pm$180,2130$\pm$330,694$\pm$190,0.216$\pm$0.066,6,6,6,6,4,6,6,8,6,6
Unintended C&D waste to Waste collection and recycling,817$\pm$630,28.3$\pm$22,0$\pm$0,0$\pm$0,4450$\pm$3400,2380$\pm$1700,0$\pm$0,7680$\pm$3900,845$\pm$630,4.45$\pm$3.4,6,4,0,0,8,8,0,8,6,8
Unintended C&D waste to Soil,21.8$\pm$21,0.756$\pm$0.72,0$\pm$0,0$\pm$0,115$\pm$100,63.8$\pm$57,0$\pm$0,201$\pm$120,22.5$\pm$21,0.115$\pm$0.1,4,1,0,0,6,4,0,6,4,6
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.07$\pm$3,0$\pm$0,0$\pm$0,3.07$\pm$3,0$\pm$0,0.00307$\pm$0.003,0,0,0,0,2,0,0,2,0,2
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.844$\pm$0.8,0$\pm$0,0$\pm$0,0.844$\pm$0.8,0$\pm$0,0.000844$\pm$0.0008,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,3$\pm$2.3,7.95$\pm$5.9,33.8$\pm$26,5.62$\pm$4.4,1.23$\pm$0.97,43$\pm$28,118$\pm$110,213$\pm$120,11$\pm$6.4,0.00685$\pm$0.0045,2,2,4,2,2,4,6,6,4,2
Indoor air to Storm water and wastewater (MP),0.538$\pm$0.46,1.41$\pm$1.2,6.06$\pm$5.1,1$\pm$0.86,0.221$\pm$0.19,7.64$\pm$5.5,20.9$\pm$20,37.8$\pm$23,1.95$\pm$1.2,0.00122$\pm$0.00089,1,2,2,2,1,2,4,4,2,2
Indoor air to Air (MP),2.33$\pm$2.2,6.24$\pm$5.7,27.3$\pm$25,4.5$\pm$4.3,0.965$\pm$0.92,33.5$\pm$28,92.9$\pm$96,168$\pm$110,8.56$\pm$6.1,0.00546$\pm$0.0044,2,2,4,2,1,4,4,6,2,2
Air to Soil (MP),4.74$\pm$3.3,12.9$\pm$8.5,66.3$\pm$40,5.47$\pm$4.3,13.4$\pm$6,70.9$\pm$37,164$\pm$130,338$\pm$150,17.6$\pm$9.1,0.0189$\pm$0.0073,2,4,4,2,4,4,6,6,4,4
Air to Fresh water (MP),0.144$\pm$0.14,0.393$\pm$0.38,2.06$\pm$2,0.166$\pm$0.18,0.408$\pm$0.33,2.16$\pm$1.8,5.03$\pm$5.4,10.4$\pm$6.3,0.537$\pm$0.41,0.000574$\pm$0.00037,1,1,2,1,1,2,2,4,1,1
Air to Coastal and ocean water (MP),0.0423$\pm$0.046,0.114$\pm$0.12,0.6$\pm$0.61,0.0488$\pm$0.056,0.12$\pm$0.11,0.631$\pm$0.59,1.46$\pm$1.6,3.02$\pm$1.9,0.156$\pm$0.13,0.000169$\pm$0.00012,1,1,1,1,1,1,2,2,1,1
Organic waste collection to Compost,16.3$\pm$11,9.85$\pm$6.9,21.8$\pm$16,2.63$\pm$1.8,0.352$\pm$0.24,2.22$\pm$1.5,8.89$\pm$6.5,62.1$\pm$21,26.2$\pm$13,0.00299$\pm$0.0019,4,2,4,2,1,2,2,4,4,2
Organic waste collection to Compost (MP),13.9$\pm$10,8.21$\pm$6.2,18.2$\pm$14,2.2$\pm$1.7,0.292$\pm$0.22,1.86$\pm$1.4,7.47$\pm$5.8,52.2$\pm$19,22.1$\pm$12,0.00249$\pm$0.0017,4,2,4,2,1,2,2,4,4,2
Organic waste collection to End-of-life,2550$\pm$910,1530$\pm$630,3380$\pm$1400,407$\pm$160,54.5$\pm$22,345$\pm$130,1390$\pm$610,9650$\pm$1900,4080$\pm$1100,0.462$\pm$0.17,8,8,8,6,4,6,8,8,8,6
Compost to Soil,19.3$\pm$12,45.7$\pm$38,60$\pm$43,3.49$\pm$2.3,0.621$\pm$0.48,2.43$\pm$1.6,46.4$\pm$40,178$\pm$73,65$\pm$40,0.00411$\pm$0.0023,4,4,4,2,1,2,4,6,4,2
Compost (MP) to Soil (MP),18$\pm$11,20.2$\pm$11,69.4$\pm$39,4.11$\pm$2.3,0.424$\pm$0.24,19.3$\pm$12,57.8$\pm$22,189$\pm$49,38.2$\pm$15,0.00453$\pm$0.0023,4,4,4,2,1,4,4,6,4,2
