Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater (MP) to Coastal and ocean water (MP),1.04$\pm$0.7,2.57$\pm$1.8,7.7$\pm$6.5,0.316$\pm$0.27,0.00818$\pm$0.005,5.53$\pm$2.8,3.65$\pm$2.9,20.8$\pm$7.9,3.61$\pm$1.9,0.000324$\pm$0.00027,2,2,2,1,1,2,2,4,2,1
Storm water and wastewater (MP) to Landfill,0.351$\pm$0.18,0.951$\pm$0.46,3.72$\pm$1.9,0.149$\pm$0.079,0.00122$\pm$0.00074,1.21$\pm$0.59,1.74$\pm$0.77,8.12$\pm$2.2,1.3$\pm$0.49,0.00015$\pm$0.000079,1,1,2,1,1,2,2,2,2,1
Storm water and wastewater (MP) to End-of-life,0.428$\pm$0.22,1.16$\pm$0.56,4.53$\pm$2.2,0.181$\pm$0.096,0.00149$\pm$0.0009,1.49$\pm$0.73,2.12$\pm$0.93,9.9$\pm$2.6,1.58$\pm$0.6,0.000183$\pm$0.000096,1,2,2,1,1,2,2,2,2,1
Storm water and wastewater (MP) to Sludge amended soil (MP),12.2$\pm$5.5,33.2$\pm$14,130$\pm$56,5.21$\pm$2.4,0.0427$\pm$0.024,42.4$\pm$18,60.7$\pm$22,284$\pm$66,45.4$\pm$15,0.00525$\pm$0.0024,4,4,6,2,1,4,4,6,4,2
On-the-go consumption to Waste collection and recycling,1040$\pm$630,1940$\pm$1000,3840$\pm$2200,582$\pm$330,0$\pm$0,461$\pm$250,10400$\pm$6100,18200$\pm$6600,2990$\pm$1200,0.582$\pm$0.33,8,8,8,6,0,6,10,10,8,6
On-the-go consumption to Litter,182$\pm$130,339$\pm$220,668$\pm$450,102$\pm$70,0$\pm$0,80.3$\pm$53,1820$\pm$1300,3200$\pm$1400,521$\pm$260,0.102$\pm$0.07,6,6,6,6,0,4,8,8,6,6
Litter to Waste collection and recycling,514$\pm$270,802$\pm$370,955$\pm$490,160$\pm$89,296$\pm$210,577$\pm$380,1860$\pm$1200,5170$\pm$1500,1320$\pm$460,0.456$\pm$0.23,6,6,6,6,6,6,8,8,8,6
Litter to Storm water and wastewater,2.54$\pm$2.2,3.06$\pm$2.5,4.16$\pm$3.7,0.841$\pm$0.71,0.176$\pm$0.17,0.37$\pm$0.37,8.93$\pm$9,20.1$\pm$10,5.6$\pm$3.3,0.00102$\pm$0.00073,2,2,2,1,1,1,2,4,2,2
Litter to Soil,43.1$\pm$25,89$\pm$59,101$\pm$64,14.1$\pm$9.2,52.9$\pm$51,105$\pm$93,178$\pm$150,583$\pm$200,132$\pm$64,0.067$\pm$0.051,4,4,6,4,4,6,6,6,6,4
Litter to Fresh water,0.0518$\pm$0.043,0.0636$\pm$0.05,0.0866$\pm$0.072,0.0179$\pm$0.014,0.00356$\pm$0.0033,0.00835$\pm$0.0075,0.185$\pm$0.18,0.417$\pm$0.2,0.115$\pm$0.066,0.0000215$\pm$0.000015,1,1,1,1,1,1,1,1,1,1
Litter to Coastal and ocean water,0.246$\pm$0.19,0.32$\pm$0.24,0.47$\pm$0.35,0.0902$\pm$0.065,0.0151$\pm$0.014,0.0475$\pm$0.038,1.05$\pm$0.91,2$\pm$1,0.566$\pm$0.3,0.000105$\pm$0.000067,1,1,1,1,1,1,2,2,1,1
Dumping to Litter,33.6$\pm$13,37.9$\pm$15,63.5$\pm$21,19.3$\pm$6.7,2.84$\pm$1.2,13.8$\pm$5.4,48.8$\pm$18,220$\pm$35,71.5$\pm$20,0.0221$\pm$0.0068,4,4,4,4,2,4,4,6,4,4
Unintended C&D waste to Waste collection and recycling,58.7$\pm$45,2.01$\pm$1.6,0$\pm$0,0$\pm$0,323$\pm$240,173$\pm$120,0$\pm$0,557$\pm$280,60.7$\pm$45,0.323$\pm$0.24,4,2,0,0,6,6,0,6,4,6
Unintended C&D waste to Soil,0.493$\pm$0.47,0.0169$\pm$0.016,0$\pm$0,0$\pm$0,2.22$\pm$2,1.46$\pm$1.3,0$\pm$0,4.19$\pm$2.5,0.51$\pm$0.47,0.00222$\pm$0.002,1,1,0,0,2,2,0,2,1,2
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.4$\pm$0.38,0$\pm$0,0$\pm$0,0.4$\pm$0.38,0$\pm$0,0.0004$\pm$0.00038,0,0,0,0,1,0,0,1,0,1
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.102$\pm$0.097,0$\pm$0,0$\pm$0,0.102$\pm$0.097,0$\pm$0,0.000102$\pm$0.000097,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,0.665$\pm$0.52,1.71$\pm$1.3,7.58$\pm$5.8,1.26$\pm$0.99,0.273$\pm$0.22,9.37$\pm$6.1,26$\pm$23,46.8$\pm$27,2.38$\pm$1.4,0.00153$\pm$0.001,1,2,2,2,1,2,4,4,2,2
Indoor air to Storm water and wastewater (MP),0.118$\pm$0.1,0.306$\pm$0.25,1.35$\pm$1.1,0.224$\pm$0.19,0.0487$\pm$0.042,1.66$\pm$1.2,4.63$\pm$4.5,8.34$\pm$5.1,0.424$\pm$0.27,0.000273$\pm$0.0002,1,1,2,1,1,2,2,2,1,1
Indoor air to Air (MP),0.513$\pm$0.49,1.35$\pm$1.2,5.96$\pm$5.6,0.989$\pm$0.94,0.214$\pm$0.2,7.43$\pm$6,20.7$\pm$22,37.1$\pm$25,1.87$\pm$1.3,0.0012$\pm$0.00096,1,2,2,1,1,2,4,4,2,2
Air to Soil (MP),1.49$\pm$0.86,3.92$\pm$2.2,18.6$\pm$9.7,1.25$\pm$0.83,2.36$\pm$1.1,14.5$\pm$7,29$\pm$23,71.2$\pm$28,5.41$\pm$2.4,0.00361$\pm$0.0014,2,2,4,2,2,4,4,4,2,2
