Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Indoor air to Waste collection and recycling,47.7$\pm$12,127$\pm$31,547$\pm$260,91$\pm$23,19.7$\pm$4.9,685$\pm$140,1900$\pm$1200,3410$\pm$1500,175$\pm$34,0.111$\pm$0.023,4,6,6,4,4,6,8,8,6,6
Indoor air to Storm water and wastewater (MP),8.51$\pm$2.3,22.6$\pm$6.1,97$\pm$47,16.2$\pm$4.4,3.5$\pm$0.96,122$\pm$28,337$\pm$220,607$\pm$260,31.1$\pm$6.5,0.0197$\pm$0.0045,2,4,4,4,2,6,6,6,4,4
Indoor air to Air (MP),37.5$\pm$11,100$\pm$30,433$\pm$220,71.5$\pm$22,15.5$\pm$4.6,535$\pm$140,1490$\pm$1000,2690$\pm$1200,138$\pm$32,0.087$\pm$0.022,4,6,6,4,4,6,8,8,6,4
Air to Soil (MP),106$\pm$20,284$\pm$54,1360$\pm$340,96.4$\pm$21,197$\pm$29,1160$\pm$180,2430$\pm$1400,5630$\pm$1700,390$\pm$57,0.294$\pm$0.036,6,6,8,4,6,8,8,8,6,6
Air to Fresh water (MP),4$\pm$1,10.7$\pm$2.7,50.9$\pm$15,3.58$\pm$0.99,7.28$\pm$1.6,43.2$\pm$9.7,89.4$\pm$53,209$\pm$64,14.6$\pm$2.9,0.0109$\pm$0.0019,2,4,4,2,2,4,4,6,4,4
Air to Coastal and ocean water (MP),10.5$\pm$3.5,28.1$\pm$9.2,134$\pm$47,9.31$\pm$3.3,18.6$\pm$5.1,112$\pm$32,230$\pm$140,542$\pm$170,38.6$\pm$9.9,0.0279$\pm$0.0061,4,4,6,2,4,6,6,6,4,4
Organic waste collection to Compost,336$\pm$87,199$\pm$54,450$\pm$120,53.5$\pm$14,7.21$\pm$1.9,45.4$\pm$12,183$\pm$52,1270$\pm$170,535$\pm$100,0.0608$\pm$0.015,6,6,6,4,2,4,6,8,6,4
Organic waste collection to Compost (MP),283$\pm$77,168$\pm$49,376$\pm$110,45.1$\pm$13,6.01$\pm$1.7,38$\pm$11,153$\pm$46,1070$\pm$150,450$\pm$91,0.0511$\pm$0.013,6,6,6,4,2,4,6,8,6,4
Organic waste collection to End-of-life,52100$\pm$7100,31000$\pm$4900,69600$\pm$11000,8320$\pm$1300,1110$\pm$170,7040$\pm$1100,28300$\pm$4800,198000$\pm$15000,83100$\pm$8700,9.44$\pm$1.3,10,10,10,8,8,8,10,10,10,8
Compost to Soil,349$\pm$88,766$\pm$260,1050$\pm$290,57.4$\pm$15,8.36$\pm$2.1,46.5$\pm$12,757$\pm$270,3040$\pm$500,1110$\pm$270,0.0658$\pm$0.015,6,6,8,4,2,4,6,8,8,4
Compost (MP) to Soil (MP),427$\pm$83,560$\pm$96,2000$\pm$360,110$\pm$19,8.79$\pm$1.9,560$\pm$110,1130$\pm$190,4790$\pm$440,987$\pm$130,0.118$\pm$0.019,6,6,8,6,2,6,8,8,6,6
