Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Organic waste collection to Compost (MP),0.114$\pm$0.081,0.0681$\pm$0.051,0.152$\pm$0.11,0.0182$\pm$0.014,0.00243$\pm$0.0018,0.0155$\pm$0.011,0.0619$\pm$0.048,0.432$\pm$0.16,0.182$\pm$0.096,0.0000207$\pm$0.000014,1,1,1,1,1,1,1,1,1,1
Organic waste collection to End-of-life,21.1$\pm$7.6,12.6$\pm$5.2,28$\pm$12,3.38$\pm$1.3,0.453$\pm$0.18,2.83$\pm$1.1,11.5$\pm$5,79.8$\pm$16,33.6$\pm$9.2,0.00384$\pm$0.0014,4,4,4,2,1,2,4,4,4,2
Compost to Soil,0.135$\pm$0.092,0.0809$\pm$0.058,0.181$\pm$0.13,0.0217$\pm$0.015,0.00293$\pm$0.0021,0.0183$\pm$0.013,0.074$\pm$0.053,0.514$\pm$0.18,0.216$\pm$0.11,0.0000247$\pm$0.000016,1,1,1,1,1,1,1,1,1,1
Compost (MP) to Soil (MP),0.114$\pm$0.081,0.0681$\pm$0.051,0.152$\pm$0.11,0.0182$\pm$0.014,0.00243$\pm$0.0018,0.0155$\pm$0.011,0.0619$\pm$0.048,0.432$\pm$0.16,0.182$\pm$0.096,0.0000207$\pm$0.000014,1,1,1,1,1,1,1,1,1,1
Total to Soil (MP),8.57$\pm$4.1,0.573$\pm$0.26,2.38$\pm$1.2,0.127$\pm$0.08,0.147$\pm$0.086,1.01$\pm$0.42,2$\pm$1,14.9$\pm$4.5,9.15$\pm$4.1,0.000274$\pm$0.00012,2,1,2,1,1,2,2,4,2,1
Total to Fresh water (MP),0.0017$\pm$0.00081,0.0172$\pm$0.0081,0.0506$\pm$0.028,0.00101$\pm$0.00052,0.000433$\pm$0.00024,0.214$\pm$0.14,0.201$\pm$0.12,0.486$\pm$0.18,0.0189$\pm$0.0081,0.00000144$\pm$0.00000058,1,1,1,1,1,1,1,1,1,1
Total to Soil,5.42$\pm$2.3,7.78$\pm$3.9,12.3$\pm$5.3,1.89$\pm$0.95,2.9$\pm$2.6,6.68$\pm$5,17.5$\pm$11,54.5$\pm$15,13.2$\pm$4.5,0.0048$\pm$0.0028,2,2,4,2,2,2,4,4,4,2
Total to Fresh water,0.142$\pm$0.12,0.253$\pm$0.16,0.327$\pm$0.23,0.0484$\pm$0.039,0.00948$\pm$0.0089,0.0223$\pm$0.021,0.566$\pm$0.51,1.37$\pm$0.6,0.395$\pm$0.2,0.0000578$\pm$0.00004,1,1,1,1,1,1,1,2,1,1
Total to Coastal and ocean water,0.28$\pm$0.14,0.287$\pm$0.14,0.101$\pm$0.047,0.0106$\pm$0.0075,0.105$\pm$0.099,0.00672$\pm$0.0051,0.131$\pm$0.12,0.921$\pm$0.26,0.567$\pm$0.2,0.000115$\pm$0.0001,1,1,1,1,1,1,1,1,1,1
Total to Coastal and ocean water (MP),0.0607$\pm$0.023,0.118$\pm$0.068,0.481$\pm$0.36,0.0385$\pm$0.038,0.116$\pm$0.06,0.58$\pm$0.36,1.94$\pm$1.6,3.33$\pm$1.7,0.179$\pm$0.071,0.000155$\pm$0.000071,1,1,1,1,1,1,2,2,1,1
Total to Landfill,2960$\pm$960,4450$\pm$1200,5840$\pm$1500,1470$\pm$450,263$\pm$86,1110$\pm$370,4040$\pm$1300,20100$\pm$2600,7410$\pm$1600,1.73$\pm$0.45,8,8,8,8,6,8,8,10,8,8
External to Import,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Fishing gear,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
External to Waste collection and recycling,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to On-the-go consumption,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Litter,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Dumping,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Unintended C&D waste,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
External to Indoor air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Organic waste collection,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Total,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
